2015-12-04 16:14:33 status unpacked base-passwd:amd64 3.5.37
2015-12-04 16:14:34 status unpacked base-passwd:amd64 3.5.37
2015-12-04 16:14:34 install bash:amd64 <none> 4.3-11ubuntu2
2015-12-04 16:14:34 status half-installed bash:amd64 4.3-11ubuntu2
2015-12-04 16:14:34 status unpacked bash:amd64 4.3-11ubuntu2
2015-12-04 16:14:34 status unpacked bash:amd64 4.3-11ubuntu2
2015-12-04 16:14:35 install bsdutils:amd64 <none> 1:2.25.2-4ubuntu2
2015-12-04 16:14:35 status half-installed bsdutils:amd64 1:2.25.2-4ubuntu2
2015-12-04 16:14:35 status unpacked bsdutils:amd64 1:2.25.2-4ubuntu2
2015-12-04 16:14:35 status unpacked bsdutils:amd64 1:2.25.2-4ubuntu2
2015-12-04 16:14:35 install coreutils:amd64 <none> 8.23-3ubuntu1
2015-12-04 16:14:35 status half-installed coreutils:amd64 8.23-3ubuntu1
2015-12-04 16:14:36 status unpacked coreutils:amd64 8.23-3ubuntu1
2015-12-04 16:14:36 status unpacked coreutils:amd64 8.23-3ubuntu1
2015-12-04 16:14:36 install dash:amd64 <none> 0.5.7-4ubuntu1
2015-12-04 16:14:36 status half-installed dash:amd64 0.5.7-4ubuntu1
2015-12-04 16:14:36 status unpacked dash:amd64 0.5.7-4ubuntu1
2015-12-04 16:14:37 status unpacked dash:amd64 0.5.7-4ubuntu1
2015-12-04 16:14:37 install debconf:all <none> 1.5.55ubuntu2
2015-12-04 16:14:37 status half-installed debconf:all 1.5.55ubuntu2
2015-12-04 16:14:37 status unpacked debconf:all 1.5.55ubuntu2
2015-12-04 16:14:37 status unpacked debconf:all 1.5.55ubuntu2
2015-12-04 16:14:38 install debianutils:amd64 <none> 4.4
2015-12-04 16:14:38 status half-installed debianutils:amd64 4.4
2015-12-04 16:14:38 status unpacked debianutils:amd64 4.4
2015-12-04 16:14:38 status unpacked debianutils:amd64 4.4
2015-12-04 16:14:38 install diffutils:amd64 <none> 1:3.3-1
2015-12-04 16:14:38 status half-installed diffutils:amd64 1:3.3-1
2015-12-04 16:14:38 status unpacked diffutils:amd64 1:3.3-1
2015-12-04 16:14:38 status unpacked diffutils:amd64 1:3.3-1
